"","Class","Sex","Age","Survived"
"779","Crew","Male","Adult","No"
"257","2nd","Male","Adult","No"
"916","Crew","Male","Adult","No"
"2082","2nd","Female","Adult","Yes"
"1351","Crew","Male","Adult","No"
"184","2nd","Male","Adult","No"
"1038","Crew","Male","Adult","No"
"736","Crew","Male","Adult","No"
"1403","3rd","Female","Adult","No"
"200","2nd","Male","Adult","No"
"1089","Crew","Male","Adult","No"
"738","Crew","Male","Adult","No"
"2179","3rd","Female","Adult","Yes"
"965","Crew","Male","Adult","No"
"1365","Crew","Male","Adult","No"
"756","Crew","Male","Adult","No"
"60","1st","Male","Adult","No"
"547","3rd","Male","Adult","No"
"1273","Crew","Male","Adult","No"
"1325","Crew","Male","Adult","No"
"1333","Crew","Male","Adult","No"
"884","Crew","Male","Adult","No"
"823","Crew","Male","Adult","No"
"2126","3rd","Female","Adult","Yes"
"19","3rd","Male","Child","No"
"1171","Crew","Male","Adult","No"
"1482","3rd","Female","Adult","No"
"1409","3rd","Female","Adult","No"
"1190","Crew","Male","Adult","No"
"2149","3rd","Female","Adult","Yes"
"1478","3rd","Female","Adult","No"
"995","Crew","Male","Adult","No"
"763","Crew","Male","Adult","No"
"387","3rd","Male","Adult","No"
"696","3rd","Male","Adult","No"
"241","2nd","Male","Adult","No"
"1841","Crew","Male","Adult","Yes"
"858","Crew","Male","Adult","No"
"697","3rd","Male","Adult","No"
"1604","1st","Male","Adult","Yes"
"1530","2nd","Female","Child","Yes"
"775","Crew","Male","Adult","No"
"1716","Crew","Male","Adult","Yes"
"46","3rd","Female","Child","No"
"1119","Crew","Male","Adult","No"
"108","1st","Male","Adult","No"
"1884","Crew","Male","Adult","Yes"
"177","2nd","Male","Adult","No"
"1789","Crew","Male","Adult","Yes"
"75","1st","Male","Adult","No"
"830","Crew","Male","Adult","No"
"1733","Crew","Male","Adult","Yes"
"480","3rd","Male","Adult","No"
"28","3rd","Male","Child","No"
"1579","1st","Male","Adult","Yes"
"1059","Crew","Male","Adult","No"
"922","Crew","Male","Adult","No"
"1565","1st","Male","Adult","Yes"
"1671","3rd","Male","Adult","Yes"
"1223","Crew","Male","Adult","No"
"1029","Crew","Male","Adult","No"
"1774","Crew","Male","Adult","Yes"
"1233","Crew","Male","Adult","No"
"1975","1st","Female","Adult","Yes"
"1356","Crew","Male","Adult","No"
"202","2nd","Male","Adult","No"
"255","2nd","Male","Adult","No"
"1746","Crew","Male","Adult","Yes"
"4","3rd","Male","Child","No"
"14","3rd","Male","Child","No"
"655","3rd","Male","Adult","No"
"442","3rd","Male","Adult","No"
"624","3rd","Male","Adult","No"
"1495","1st","Male","Child","Yes"
"335","3rd","Male","Adult","No"
"1569","1st","Male","Adult","Yes"
"1676","3rd","Male","Adult","Yes"
"1401","3rd","Female","Adult","No"
"1009","Crew","Male","Adult","No"
"923","Crew","Male","Adult","No"
"1456","3rd","Female","Adult","No"
"372","3rd","Male","Adult","No"
"2139","3rd","Female","Adult","Yes"
"1389","2nd","Female","Adult","No"
"1343","Crew","Male","Adult","No"
"1627","3rd","Male","Adult","Yes"
"1876","Crew","Male","Adult","Yes"
"449","3rd","Male","Adult","No"
"1878","Crew","Male","Adult","Yes"
"1609","2nd","Male","Adult","Yes"
"1575","1st","Male","Adult","Yes"
"778","Crew","Male","Adult","No"
"1175","Crew","Male","Adult","No"
"1166","Crew","Male","Adult","No"
"1622","3rd","Male","Adult","Yes"
"1074","Crew","Male","Adult","No"
"2027","2nd","Female","Adult","Yes"
"56","1st","Male","Adult","No"
"599","3rd","Male","Adult","No"
"398","3rd","Male","Adult","No"
"837","Crew","Male","Adult","No"
"1755","Crew","Male","Adult","Yes"
"1050","Crew","Male","Adult","No"
"1773","Crew","Male","Adult","Yes"
"895","Crew","Male","Adult","No"
"975","Crew","Male","Adult","No"
"1552","1st","Male","Adult","Yes"
"1088","Crew","Male","Adult","No"
"2064","2nd","Female","Adult","Yes"
"21","3rd","Male","Child","No"
"1828","Crew","Male","Adult","Yes"
"1053","Crew","Male","Adult","No"
"929","Crew","Male","Adult","No"
"2050","2nd","Female","Adult","Yes"
"1497","2nd","Male","Child","Yes"
"1080","Crew","Male","Adult","No"
"2081","2nd","Female","Adult","Yes"
"1191","Crew","Male","Adult","No"
"325","3rd","Male","Adult","No"
"1799","Crew","Male","Adult","Yes"
"848","Crew","Male","Adult","No"
"2147","3rd","Female","Adult","Yes"
"109","1st","Male","Adult","No"
"1129","Crew","Male","Adult","No"
"1394","2nd","Female","Adult","No"
"332","3rd","Male","Adult","No"
"323","2nd","Male","Adult","No"
"949","Crew","Male","Adult","No"
"1257","Crew","Male","Adult","No"
"1157","Crew","Male","Adult","No"
"518","3rd","Male","Adult","No"
"171","2nd","Male","Adult","No"
"1215","Crew","Male","Adult","No"
"625","3rd","Male","Adult","No"
"577","3rd","Male","Adult","No"
"1064","Crew","Male","Adult","No"
"821","Crew","Male","Adult","No"
"1801","Crew","Male","Adult","Yes"
"1527","2nd","Female","Child","Yes"
"986","Crew","Male","Adult","No"
"1668","3rd","Male","Adult","Yes"
"657","3rd","Male","Adult","No"
"559","3rd","Male","Adult","No"
"427","3rd","Male","Adult","No"
"910","Crew","Male","Adult","No"
"1201","Crew","Male","Adult","No"
"246","2nd","Male","Adult","No"
"1987","1st","Female","Adult","Yes"
"605","3rd","Male","Adult","No"
"852","Crew","Male","Adult","No"
"586","3rd","Male","Adult","No"
"1373","Crew","Male","Adult","No"
"2014","1st","Female","Adult","Yes"
"356","3rd","Male","Adult","No"
"1370","Crew","Male","Adult","No"
"1235","Crew","Male","Adult","No"
"731","Crew","Male","Adult","No"
"303","2nd","Male","Adult","No"
"1673","3rd","Male","Adult","Yes"
"2119","3rd","Female","Adult","Yes"
"36","3rd","Female","Child","No"
"1792","Crew","Male","Adult","Yes"
"1966","1st","Female","Adult","Yes"
"1658","3rd","Male","Adult","Yes"
"515","3rd","Male","Adult","No"
"665","3rd","Male","Adult","No"
"853","Crew","Male","Adult","No"
"1443","3rd","Female","Adult","No"
"1593","1st","Male","Adult","Yes"
"1278","Crew","Male","Adult","No"
"956","Crew","Male","Adult","No"
"151","1st","Male","Adult","No"
"1781","Crew","Male","Adult","Yes"
"1337","Crew","Male","Adult","No"
"2184","Crew","Female","Adult","Yes"
"311","2nd","Male","Adult","No"
"646","3rd","Male","Adult","No"
"94","1st","Male","Adult","No"
"1457","3rd","Female","Adult","No"
"548","3rd","Male","Adult","No"
"685","3rd","Male","Adult","No"
"439","3rd","Male","Adult","No"
"1186","Crew","Male","Adult","No"
"520","3rd","Male","Adult","No"
"1690","3rd","Male","Adult","Yes"
"376","3rd","Male","Adult","No"
"2052","2nd","Female","Adult","Yes"
"826","Crew","Male","Adult","No"
"59","1st","Male","Adult","No"
"2042","2nd","Female","Adult","Yes"
"256","2nd","Male","Adult","No"
"1021","Crew","Male","Adult","No"
"1309","Crew","Male","Adult","No"
"483","3rd","Male","Adult","No"
"2056","2nd","Female","Adult","Yes"
"2173","3rd","Female","Adult","Yes"
"1810","Crew","Male","Adult","Yes"
"1265","Crew","Male","Adult","No"
"1121","Crew","Male","Adult","No"
"1721","Crew","Male","Adult","Yes"
"354","3rd","Male","Adult","No"
"280","2nd","Male","Adult","No"
"1528","2nd","Female","Child","Yes"
"1126","Crew","Male","Adult","No"
"721","Crew","Male","Adult","No"
"179","2nd","Male","Adult","No"
"1969","1st","Female","Adult","Yes"
"1996","1st","Female","Adult","Yes"
"1696","Crew","Male","Adult","Yes"
